location_name,state,latitude,longitude,metric,target_year,baseline_start_year,baseline_end_year,target_value,baseline_avg_value,delta_value,status
Austin,Texas,30.26715,-97.74306,days_above_90f,2022,2011,2020,133,95.7,37.3,completed
Austin,Texas,30.26715,-97.74306,days_below_32f,2022,2011,2020,22,8.5,13.5,completed
Austin,Texas,30.26715,-97.74306,days_above_90f,2023,2011,2020,119,95.7,23.299999999999997,completed
Austin,Texas,30.26715,-97.74306,days_below_32f,2023,2011,2020,3,8.5,-5.5,completed
Austin,Texas,30.26715,-97.74306,days_above_90f,2024,2011,2020,109,95.7,13.299999999999997,completed
Austin,Texas,30.26715,-97.74306,days_below_32f,2024,2011,2020,6,8.5,-2.5,completed
Jacksonville,Florida,30.33218,-81.65565,days_above_90f,2015,2011,2020,43,36.4,6.600000000000001,completed
Jacksonville,Florida,30.33218,-81.65565,days_below_32f,2015,2011,2020,3,2.1,0.8999999999999999,completed
Jacksonville,Florida,30.33218,-81.65565,days_above_90f,2016,2011,2020,63,36.4,26.6,completed
Jacksonville,Florida,30.33218,-81.65565,days_below_32f,2016,2011,2020,1,2.1,-1.1,completed
Jacksonville,Florida,30.33218,-81.65565,days_above_90f,2017,2011,2020,15,36.4,-21.4,completed
Jacksonville,Florida,30.33218,-81.65565,days_below_32f,2017,2011,2020,1,2.1,-1.1,completed
Jacksonville,Florida,30.33218,-81.65565,days_above_90f,2018,2011,2020,14,36.4,-22.4,completed
Jacksonville,Florida,30.33218,-81.65565,days_below_32f,2018,2011,2020,8,2.1,5.9,completed
Jacksonville,Florida,30.33218,-81.65565,days_above_90f,2019,2011,2020,42,36.4,5.600000000000001,completed
Jacksonville,Florida,30.33218,-81.65565,days_below_32f,2019,2011,2020,0,2.1,-2.1,completed
Jacksonville,Florida,30.33218,-81.65565,days_above_90f,2020,2011,2020,42,36.4,5.600000000000001,completed
Jacksonville,Florida,30.33218,-81.65565,days_below_32f,2020,2011,2020,1,2.1,-1.1,completed
Jacksonville,Florida,30.33218,-81.65565,days_above_90f,2021,2011,2020,8,36.4,-28.4,completed
Jacksonville,Florida,30.33218,-81.65565,days_below_32f,2021,2011,2020,0,2.1,-2.1,completed
Jacksonville,Florida,30.33218,-81.65565,days_above_90f,2022,2011,2020,38,36.4,1.6000000000000014,completed
Jacksonville,Florida,30.33218,-81.65565,days_below_32f,2022,2011,2020,4,2.1,1.9,completed
Jacksonville,Florida,30.33218,-81.65565,days_above_90f,2023,2011,2020,47,36.4,10.600000000000001,completed
Jacksonville,Florida,30.33218,-81.65565,days_below_32f,2023,2011,2020,0,2.1,-2.1,completed
Jacksonville,Florida,30.33218,-81.65565,days_above_90f,2024,2011,2020,52,36.4,15.600000000000001,completed
Jacksonville,Florida,30.33218,-81.65565,days_below_32f,2024,2011,2020,2,2.1,-0.10000000000000009,completed
Fort Worth,Texas,32.72541,-97.32085,days_above_90f,2015,2011,2020,92,93.6,-1.5999999999999943,completed
Fort Worth,Texas,32.72541,-97.32085,days_below_32f,2015,2011,2020,26,20.7,5.300000000000001,completed
Fort Worth,Texas,32.72541,-97.32085,days_above_90f,2016,2011,2020,79,93.6,-14.599999999999994,completed
Fort Worth,Texas,32.72541,-97.32085,days_below_32f,2016,2011,2020,17,20.7,-3.6999999999999993,completed
Fort Worth,Texas,32.72541,-97.32085,days_above_90f,2017,2011,2020,73,93.6,-20.599999999999994,completed
Fort Worth,Texas,32.72541,-97.32085,days_below_32f,2017,2011,2020,8,20.7,-12.7,completed
Fort Worth,Texas,32.72541,-97.32085,days_above_90f,2018,2011,2020,104,93.6,10.400000000000006,completed
Fort Worth,Texas,32.72541,-97.32085,days_below_32f,2018,2011,2020,24,20.7,3.3000000000000007,completed
Fort Worth,Texas,32.72541,-97.32085,days_above_90f,2019,2011,2020,89,93.6,-4.599999999999994,completed
Fort Worth,Texas,32.72541,-97.32085,days_below_32f,2019,2011,2020,19,20.7,-1.6999999999999993,completed
Fort Worth,Texas,32.72541,-97.32085,days_above_90f,2020,2011,2020,95,93.6,1.4000000000000057,completed
Fort Worth,Texas,32.72541,-97.32085,days_below_32f,2020,2011,2020,8,20.7,-12.7,completed
Fort Worth,Texas,32.72541,-97.32085,days_above_90f,2021,2011,2020,77,93.6,-16.599999999999994,completed
Fort Worth,Texas,32.72541,-97.32085,days_below_32f,2021,2011,2020,15,20.7,-5.699999999999999,completed
Fort Worth,Texas,32.72541,-97.32085,days_above_90f,2022,2011,2020,119,93.6,25.400000000000006,completed
Fort Worth,Texas,32.72541,-97.32085,days_below_32f,2022,2011,2020,34,20.7,13.3,completed
Fort Worth,Texas,32.72541,-97.32085,days_above_90f,2023,2011,2020,114,93.6,20.400000000000006,completed
Fort Worth,Texas,32.72541,-97.32085,days_below_32f,2023,2011,2020,9,20.7,-11.7,completed
Fort Worth,Texas,32.72541,-97.32085,days_above_90f,2024,2011,2020,108,93.6,14.400000000000006,completed
